wildcard;diameter;left_pair;right_pair
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*/action;2;microsoft/avs/privateclouds/listadmincredentials/action;microsoft/avs/register/action
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*gister/action;2;microsoft/avs/privateclouds/register/action;microsoft/avs/register/action
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclouds/rotatensx*ssword/action;3;microsoft/avs/privateclouds/rotatensxtcloudadminpassword/action;microsoft/avs/privateclouds/rotatensxtpassword/action
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclo*es/delete;3;microsoft/avs/privateclouds/clusters/datastores/delete;microsoft/avs/privateclouds/hcxenterprisesites/delete
microsoft.avs*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclo*rationstatuses/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/clusters/datastores/operationstatuses/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclo*s/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/authorizations/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*er/action;2;microsoft/avs/privateclouds/register/action;microsoft/avs/register/action
microsoft.avs/*/action;2;microsoft/avs/privateclouds/listadmincredentials/action;microsoft/avs/register/action
microsoft.aadcustomsecurityattributesdiagnosticsettings/*;2;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettingscategories/read
microsoft.aad*/read;1;microsoft/aad/operations/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read
