wildcard;diameter;left_pair;right_pair
microsoft.adhybridhealthservice/*ions/read;2;microsoft/adhybridhealthservice/addsservices/dimensions/read;microsoft/adhybridhealthservice/operations/read
microsoft.adhybridhealthservic*/write;2;microsoft/adhybridhealthservice/addsservices/write;microsoft/adhybridhealthservice/configuration/write
microsoft.adhybridhealthservice/*ices/premiumcheck/read;2;microsoft/adhybridhealthservice/addsservices/premiumcheck/read;microsoft/adhybridhealthservice/services/premiumcheck/read
microsoft.adhybridhealthservice/*ces/read;2;microsoft/adhybridhealthservice/addsservices/read;microsoft/adhybridhealthservice/services/read
microsoft.adhybridhealthservice*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice*ils/read;2;microsoft/adhybridhealthservice/addsservices/replicationdetails/read;microsoft/adhybridhealthservice/services/reports/details/read
microsoft.adhybridhealthservice/services/reports/generatebloburi/action;;microsoft.adhybridhealthservice/services/reports/generatebloburi/action;microsoft.adhybridhealthservice/services/reports/generatebloburi/action
microsoft.adhybridhealthservice/*ers/action;2;microsoft/adhybridhealthservice/addsservices/servicemembers/action;microsoft/adhybridhealthservice/services/servicemembers/action
microsoft.adhybridhealthservice*s/alerts/read;2;microsoft/adhybridhealthservice/addsservices/alerts/read;microsoft/adhybridhealthservice/services/alerts/read
microsoft.adhybridhealthservice/*ces/servicemembers/credentials/read;2;microsoft/adhybridhealthservice/addsservices/servicemembers/credentials/read;microsoft/adhybridhealthservice/services/servicemembers/credentials/read
microsoft.adhybridhealthservice/services/servicemembers/datafreshness/read;;microsoft.adhybridhealthservice/services/servicemembers/datafreshness/read;microsoft.adhybridhealthservice/services/servicemembers/datafreshness/read
microsoft.adhybridhealthservice*emembers/delete;2;microsoft/adhybridhealthservice/addsservices/servicemembers/delete;microsoft/adhybridhealthservice/services/servicemembers/delete
microsoft.adhybridhealthservice/*;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealthservic*groups/read;2;microsoft/adhybridhealthservice/addsservices/metrics/groups/read;microsoft/adhybridhealthservice/services/metrics/groups/read
microsoft.adhybridhealthservice/*;2;microsoft/adhybridhealthservice/addsservices/action;microsoft/adhybridhealthservice/configuration/action
microsoft.adhybridhealthservice/*ers/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/services/servicemembers/read
microsoft.adhybridhealthservi*guration/read;2;microsoft/adhybridhealthservice/addsservices/configuration/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhea*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*ces/write;2;microsoft/adhybridhealthservice/addsservices/write;microsoft/adhybridhealthservice/services/write
microsoft.adhybridhealthservice/*ster/action;2;microsoft/adhybridhealthservice/register/action;microsoft/adhybridhealthservice/unregister/action
microsoft.avs/*lity/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*ability/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*y/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*ability/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclouds*s/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/priva*es/write;3;microsoft/avs/privateclouds/clusters/datastores/write;microsoft/avs/privateclouds/hcxenterprisesites/write
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privatecloud*rs/write;3;microsoft/avs/privateclouds/clusters/write;microsoft/avs/privateclouds/eventgridfilters/write
microsoft.avs/privatecl*/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*ions/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/authorizations/read
microsoft.avs/privateclou*tions/write;3;microsoft/avs/privateclouds/authorizations/write;microsoft/avs/privateclouds/globalreachconnections/write
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/action;2;microsoft/avs/privateclouds/listadmincredentials/action;microsoft/avs/register/action
microsoft.avs/privateclouds/operation*/read;3;microsoft/avs/privateclouds/operationresults/read;microsoft/avs/privateclouds/operationstatuses/read
microsoft.avs/privateclouds/operation*s/read;3;microsoft/avs/privateclouds/operationresults/read;microsoft/avs/privateclouds/operationstatuses/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*register/action;2;microsoft/avs/privateclouds/register/action;microsoft/avs/register/action
microsoft.avs/privateclouds/rotatensxt*sword/action;3;microsoft/avs/privateclouds/rotatensxtcloudadminpassword/action;microsoft/avs/privateclouds/rotatensxtpassword/action
microsoft.avs*/action;2;microsoft/avs/privateclouds/listadmincredentials/action;microsoft/avs/register/action
microsoft.avs/*/action;2;microsoft/avs/privateclouds/listadmincredentials/action;microsoft/avs/register/action
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*ons/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*ons/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclouds/*;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privatecloud*/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/authorizations/read
microsoft.avs/privateclouds*es/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/clusters/datastores/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/private*/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/privateclouds*s/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclouds*operationstatuses/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/clusters/datastores/operationstatuses/read
microsoft.avs*/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*/action;2;microsoft/avs/privateclouds/listadmincredentials/action;microsoft/avs/register/action
microsoft.avs/*egister/action;2;microsoft/avs/privateclouds/register/action;microsoft/avs/register/action
microsoft.awsconnector*tatuses/read;2;microsoft/awsconnector/locations/operationstatuses/read;microsoft/awsconnector/configserviceconfigurationrecorderstatuses/read
microsoft.awsconnector/l*s/write;2;microsoft/awsconnector/locations/operationstatuses/write;microsoft/awsconnector/lambdafunctioncodelocations/write
microsoft.awsconnector/ope*ns/read;2;microsoft/awsconnector/operations/read;microsoft/awsconnector/opensearchservicedomains/read
microsoft.awsconnector/*er/action;2;microsoft/awsconnector/register/action;microsoft/awsconnector/unregister/action
microsoft.awsconnector/*ter/action;2;microsoft/awsconnector/register/action;microsoft/awsconnector/unregister/action
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete;;microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete;microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/delete
microsoft.aad*csettings/read;1;microsoft/aad/domainservices/providers/microsoft/insights/diagnosticsettings/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write;;microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write;microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/write
microsoft.aadcustomsecurityattributesdiagnosticsettings/diagnosticsetti*/read;2;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettings/read;microsoft/aadcustomsecurityattributesdiagnosticsettings/diagnosticsettingscategories/read
microsoft.addons*s/read;2;microsoft/addons/operations/read;microsoft/addons/supportproviders/supportplantypes/read
microsoft.addons/*/action;2;microsoft/addons/register/action;microsoft/addons/supportproviders/listsupportplaninfo/action
microsoft.addons/supportproviders/listsupportplaninfo/action;;microsoft.addons/supportproviders/listsupportplaninfo/action;microsoft.addons/supportproviders/listsupportplaninfo/action
microsoft.addons/supportproviders/supportplantypes/delete;;microsoft.addons/supportproviders/supportplantypes/delete;microsoft.addons/supportproviders/supportplantypes/delete
microsoft.addons/supportproviders/supportplantypes/read;;microsoft.addons/supportproviders/supportplantypes/read;microsoft.addons/supportproviders/supportplantypes/read
microsoft.addons/supportproviders/supportplantypes/write;;microsoft.addons/supportproviders/supportplantypes/write;microsoft.addons/supportproviders/supportplantypes/write
microsoft.advisor/advisorscore/read;;microsoft.advisor/advisorscore/read;microsoft.advisor/advisorscore/read
microsoft.advisor/assessment*/read;2;microsoft/advisor/assessmenttypes/read;microsoft/advisor/assessments/read
microsoft.advisor/assessment*/read;2;microsoft/advisor/assessmenttypes/read;microsoft/advisor/assessments/read
microsoft.advisor/*s/write;2;microsoft/advisor/assessments/write;microsoft/advisor/configurations/write
microsoft.advisor*ations/read;2;microsoft/advisor/configurations/read;microsoft/advisor/generaterecommendations/read
microsoft.advisor/*;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.advisor/*/action;2;microsoft/advisor/generaterecommendations/action;microsoft/advisor/recommendations/available/action
microsoft.advisor/*;2;microsoft/advisor/advisorscore/read;microsoft/advisor/assessmenttypes/read
microsoft.advisor/metadata/read;;microsoft.advisor/metadata/read;microsoft.advisor/metadata/read
microsoft.advisor/*ations/read;2;microsoft/advisor/configurations/read;microsoft/advisor/generaterecommendations/read
