wildcard;diameter;left_pair;right_pair
microsoft.adhybridhealthservic*cs/groups/read;2;microsoft/adhybridhealthservice/addsservices/metrics/groups/read;microsoft/adhybridhealthservice/services/metrics/groups/read
microsoft.adhybridhealthserv*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealths*figuration/write;2;microsoft/adhybridhealthservice/configuration/write;microsoft/adhybridhealthservice/services/monitoringconfiguration/write
microsoft.adhybridhealthse*rations/read;2;microsoft/adhybridhealthservice/operations/read;microsoft/adhybridhealthservice/services/monitoringconfigurations/read
microsoft.adhybridhealthse*s/write;2;microsoft/adhybridhealthservice/addsservices/write;microsoft/adhybridhealthservice/services/ipaddressaggregatesettings/write
microsoft.adhybridhealthservice*ervices/premiumcheck/read;2;microsoft/adhybridhealthservice/addsservices/premiumcheck/read;microsoft/adhybridhealthservice/services/premiumcheck/read
microsoft.adhybridhealthservice/*rvices/read;2;microsoft/adhybridhealthservice/addsservices/read;microsoft/adhybridhealthservice/services/read
microsoft.adhybridhealthse*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybrid*etails/read;2;microsoft/adhybridhealthservice/addsservices/replicationdetails/read;microsoft/adhybridhealthservice/services/reports/details/read
microsoft.adhybridhealthservice/services/reports/generatebloburi/action;;microsoft.adhybridhealthservice/services/reports/generatebloburi/action;microsoft.adhybridhealthservice/services/reports/generatebloburi/action
microsoft.adhybridhealthservi*cemembers/action;2;microsoft/adhybridhealthservice/addsservices/servicemembers/action;microsoft/adhybridhealthservice/services/servicemembers/action
microsoft.adhybridhealthservi*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservice/*rvicemembers/credentials/read;2;microsoft/adhybridhealthservice/addsservices/servicemembers/credentials/read;microsoft/adhybridhealthservice/services/servicemembers/credentials/read
microsoft.adhybridhealthservice*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*s/servicemembers/delete;2;microsoft/adhybridhealthservice/addsservices/servicemembers/delete;microsoft/adhybridhealthservice/services/servicemembers/delete
microsoft.adhybridhea*status/read;2;microsoft/adhybridhealthservice/addsservices/replicationstatus/read;microsoft/adhybridhealthservice/services/exportstatus/read
microsoft.adhybridhealthservice/*s/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/logs/contents/read
microsoft.adhybridhealthservice/services/servicemembers/metrics/read;;microsoft.adhybridhealthservice/services/servicemembers/metrics/read;microsoft.adhybridhealthservice/services/servicemembers/metrics/read
microsoft.adhybridhealthservic*ers/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/services/servicemembers/read
microsoft.adhybridhealthservi*ion/read;2;microsoft/adhybridhealthservice/addsservices/configuration/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealt*/read;2;microsoft/adhybridhealthservice/addsservices/addomainservicemembers/read;microsoft/adhybridhealthservice/configuration/read
microsoft.adhybridhealthservice/*ces/write;2;microsoft/adhybridhealthservice/addsservices/write;microsoft/adhybridhealthservice/services/write
microsoft.adhybridhealthser*gister/action;2;microsoft/adhybridhealthservice/register/action;microsoft/adhybridhealthservice/unregister/action
microsoft.avs*ty/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/locations/check*lability/read;3;microsoft/avs/locations/checknameavailability/read;microsoft/avs/locations/checkquotaavailability/read
microsoft.avs/*availability/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*ilability/read;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/*ons/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/read
microsoft.avs/privatecloud*ons/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs/privateclouds/*tuses/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/clusters/datastores/operationstatuses/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/privatecloud*ns/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/privateclouds*ons/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs/*ons/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/read
microsoft.avs/priv*s/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/privatecloud*es/delete;3;microsoft/avs/privateclouds/clusters/datastores/delete;microsoft/avs/privateclouds/hcxenterprisesites/delete
microsoft.avs/privateclouds*statuses/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/clusters/datastores/operationstatuses/read
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/privateclouds*/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/privateclouds/*rs/delete;3;microsoft/avs/privateclouds/clusters/delete;microsoft/avs/privateclouds/eventgridfilters/delete
microsoft.avs/privateclou*statuses/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/clusters/datastores/operationstatuses/read
microsoft.avs*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/*;2;microsoft/avs/checknameavailability/read;microsoft/avs/locations/checknameavailability/read
microsoft.avs/privateclo*/delete;3;microsoft/avs/privateclouds/addons/delete;microsoft/avs/privateclouds/authorizations/delete
microsoft.avs/privateclouds*ers/delete;3;microsoft/avs/privateclouds/clusters/delete;microsoft/avs/privateclouds/eventgridfilters/delete
microsoft.avs/*s/read;2;microsoft/avs/operations/read;microsoft/avs/privateclouds/addons/operationstatuses/read
microsoft.avs/privateclouds/*/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
microsoft.avs/privatecl*ions/delete;3;microsoft/avs/privateclouds/authorizations/delete;microsoft/avs/privateclouds/globalreachconnections/delete
microsoft.avs/privateclouds*rationstatuses/read;3;microsoft/avs/privateclouds/addons/operationstatuses/read;microsoft/avs/privateclouds/clusters/datastores/operationstatuses/read
microsoft.avs/privateclouds/globalreachconnect*/read;4;microsoft/avs/privateclouds/globalreachconnections/operationstatuses/read;microsoft/avs/privateclouds/globalreachconnections/read
microsoft.avs/private*/write;3;microsoft/avs/privateclouds/addons/write;microsoft/avs/privateclouds/authorizations/write
